t; Position; Velocity
0.0; 0.0; 0.0
0.1; 0.05; 0.98
0.2; 0.2; 1.96
0.3; 0.44; 2.94
0.4; 0.78; 3.92
0.5; 1.23; 4.9
0.6; 1.76; 5.88
0.7; 2.4; 6.86
0.8; 3.14; 7.84
0.9; 3.97; 8.82
1.0; 4.9; 9.8
1.1; 5.93; 10.78
1.2; 7.06; 11.76
1.3; 8.28; 12.74
1.4; 9.6; 13.72
1.5; 11.03; 14.7
1.6; 12.54; 15.68
1.7; 14.16; 16.66
1.8; 15.88; 17.64
1.9; 17.69; 18.62
2.0; 19.6; 19.6
2.1; 21.61; 20.58
2.2; 23.72; 21.56
2.3; 25.92; 22.54
2.4; 28.22; 23.52
2.5; 30.63; 24.5
2.6; 33.12; 25.48
2.7; 35.72; 26.46
2.8; 38.42; 27.44
2.9; 41.21; 28.42
3.0; 44.1; 29.4
3.1; 47.09; 30.38
3.2; 50.18; 31.36
3.3; 53.36; 32.34
3.4; 56.64; 33.32
3.5; 60.03; 34.3
3.6; 63.5; 35.28
3.7; 67.08; 36.26
3.8; 70.76; 37.24
3.9; 74.53; 38.22
4.0; 78.4; 39.2
4.1; 82.37; 40.18
4.2; 86.44; 41.16
4.3; 90.6; 42.14
4.4; 94.86; 43.12
4.5; 99.23; 44.1
4.6; 103.68; 45.08
4.7; 108.24; 46.06
4.8; 112.9; 47.04
4.9; 117.65; 48.02
5.0; 122.5; 49.0
5.1; 127.45; 49.98
5.2; 132.5; 50.96
5.3; 137.64; 51.94
5.4; 142.88; 52.92
5.5; 148.23; 53.9
5.6; 153.66; 54.88
5.7; 159.2; 55.86
5.8; 164.84; 56.84
5.9; 170.57; 57.82
6.0; 176.4; 58.8
6.1; 182.33; 59.78
6.2; 188.36; 60.76
6.3; 194.48; 61.74
6.4; 200.7; 62.72
6.5; 207.03; 63.7
6.6; 213.44; 64.68
6.7; 219.96; 65.66
6.8; 226.58; 66.64
6.9; 233.29; 67.62
7.0; 240.1; 68.6
7.1; 247.01; 69.58
7.2; 254.02; 70.56
7.3; 261.12; 71.54
7.4; 268.32; 72.52
7.5; 275.62; 73.5
7.6; 283.02; 74.48
7.7; 290.52; 75.46
7.8; 298.12; 76.44
7.9; 305.81; 77.42
8.0; 313.6; 78.4
8.1; 321.49; 79.38
8.2; 329.48; 80.36
8.3; 337.56; 81.34
8.4; 345.74; 82.32
8.5; 354.03; 83.3
8.6; 362.4; 84.28
8.7; 370.88; 85.26
8.8; 379.46; 86.24
8.9; 388.13; 87.22
9.0; 396.9; 88.2
9.1; 405.77; 89.18
9.2; 414.74; 90.16
9.3; 423.8; 91.14
9.4; 432.96; 92.12
9.5; 442.23; 93.1
9.6; 451.58; 94.08
9.7; 461.04; 95.06
9.8; 470.6; 96.04
9.9; 480.25; 97.02
10.0; 490.0; 98.0
